Company,Email,Tag,Region,Note
Fi Money,careers@fi.money,Fintech,India,Neobanking
Niyo,careers@goniyo.com,Fintech,India,Neobanking
Open,careers@open.money,Fintech,India,SME Neobanking
Karza,careers@karza.in,Fintech,India,Banking Analytics
Setu,careers@setu.co,Fintech,India,API Infrastructure
M2P Fintech,careers@m2pfintech.com,Fintech,India,API Infrastructure
FinBox,careers@finbox.in,Fintech,India,Lending Infrastructure
Perfios,careers@perfios.com,Fintech,India,Data Analytics
Signzy,careers@signzy.com,Fintech,India,KYC & Onboarding
Cashfree,careers@cashfree.com,Fintech,India,Payment Gateway
Wint Wealth,careers@wintwealth.com,Fintech,India,Alternative Investments
Grip Invest,careers@gripinvest.in,Fintech,India,Alternative Investments
Tyke,careers@tykeinvest.com,Fintech,India,Startup Investing
Smallcase,careers@smallcase.com,Fintech,India,Investment Tech
Tickertape,careers@tickertape.in,Fintech,India,Investment Analysis
INDmoney,careers@indmoney.com,Fintech,India,Wealth Management
Kuvera,careers@kuvera.in,Fintech,India,Wealth Management
Scripbox,careers@scripbox.com,Fintech,India,Wealth Management
ET Money,careers@etmoney.com,Fintech,India,Wealth Management
Paytm Money,careers@paytmmoney.com,Fintech,India,Wealth Management
Wealthy,careers@wealthy.in,Fintech,India,Wealth Management
Dezerv,careers@dezerv.in,Fintech,India,Wealth Management
Vested Finance,careers@vestedfinance.co,Fintech,India,Global Investing
Stockal,careers@stockal.com,Fintech,India,Global Investing
Kristal.AI,careers@kristal.ai,Fintech,India,Wealth Management
Stratzy,careers@stratzy.in,Fintech,India,Investment Tech
Uni Cards,careers@uni.cards,Fintech,India,Credit Cards
Slice,careers@sliceit.com,Fintech,India,Credit Cards
OneCard,careers@getonecard.app,Fintech,India,Credit Cards
PostPe,careers@postpe.app,Fintech,India,BNPL
Fibe,careers@fibe.in,Fintech,India,Consumer Lending
KreditBee,careers@kreditbee.in,Fintech,India,Consumer Lending
CASHe,careers@cashe.co.in,Fintech,India,Consumer Lending
Kissht,careers@kissht.com,Fintech,India,Consumer Lending
FlexiLoans,careers@flexiloans.com,Fintech,India,SME Lending
NeoGrowth,careers@neogrowth.in,Fintech,India,SME Lending
Capital Float,careers@axio.co.in,Fintech,India,BNPL / Lending
Indifi,careers@indifi.com,Fintech,India,SME Lending
Aye Finance,careers@ayefinance.com,Fintech,India,SME Lending
Kinara Capital,careers@kinaracapital.com,Fintech,India,SME Lending
Vivriti Capital,careers@vivriticapital.com,Fintech,India,Enterprise Lending
Yubi,careers@go-yubi.com,Fintech,India,Debt Platform
Oxyzo,careers@oxyzo.in,Fintech,India,SME Lending
Rupeek,careers@rupeek.com,Fintech,India,Gold Loans
IndiaGold,careers@indiagold.co,Fintech,India,Gold Loans
Yellow Metal,careers@yellowmetal.in,Fintech,India,Gold Loans
Refyne,careers@refyne.co.in,Fintech,India,Earned Wage Access
Jify,careers@jify.co,Fintech,India,Earned Wage Access
Keka,careers@keka.com,Fintech,India,HR & Payroll Tech
Plum,careers@plumhq.com,Fintech,India,Insurtech
Loop Health,careers@loophealth.com,Fintech,India,Insurtech
Nova Benefits,careers@novabenefits.com,Fintech,India,Insurtech
Pazcare,careers@pazcare.com,Fintech,India,Insurtech
SecureNow,careers@securenow.in,Fintech,India,Insurtech
RenewBuy,careers@renewbuy.com,Fintech,India,Insurtech
Turtlemint,careers@turtlemint.com,Fintech,India,Insurtech
InsuranceDekho,careers@insurancedekho.com,Fintech,India,Insurtech
Symbo,careers@symboinsurance.com,Fintech,India,Insurtech
Toffee Insurance,careers@toffeeinsurance.com,Fintech,India,Insurtech
Gramcover,careers@gramcover.com,Fintech,India,Agri Insurtech
Jai Kisan,careers@jai-kisan.com,Fintech,India,Agri Fintech
Dvara KGFS,careers@dvarakgfs.com,Fintech,India,Rural Fintech
Avanti Finance,careers@avantifinance.in,Fintech,India,Rural Fintech
Khatabook,careers@khatabook.com,Fintech,India,SME Accounting
OkCredit,careers@okcredit.in,Fintech,India,SME Accounting
Vyapar,careers@vyaparapp.in,Fintech,India,SME Accounting
MyBillBook,careers@flobiz.in,Fintech,India,SME Accounting
ProfitBooks,careers@profitbooks.net,Fintech,India,SME Accounting
KredX,careers@kredx.com,Fintech,India,Invoice Discounting
Vayana Network,careers@vayana.com,Fintech,India,Trade Finance
RXIL,careers@rxil.in,Fintech,India,Trade Finance
M1xchange,careers@m1xchange.com,Fintech,India,Trade Finance
Invoicemart,careers@invoicemart.com,Fintech,India,Trade Finance
ClearScore India,careers@clearscore.com,Fintech,India,Credit Score
BankBazaar,careers@bankbazaar.com,Fintech,India,Financial Products
PaisaBazaar,careers@paisabazaar.com,Fintech,India,Financial Products
TalkCharge,careers@talkcharge.com,Fintech,India,Payments / Wallets
Knight Fintech,hr@knightfintech.com,Fintech,India,Banking Tech
Navi,careers@navi.com,Fintech,India,Mutual Funds & Loans
Groww,future@groww.in,Fintech,India,Fintech / Investments
PhonePe,careers@phonepe.com,Fintech,India,UPI / Payments
Paytm,hr@paytm.com,Fintech,India,Payments platform
Juspay,careers@juspay.in,Fintech,India,Payment infra
Volt Money,careers@voltmoney.in,Fintech,India,Lending / Fintech
Fixerra,careers@fixerra.in,Fintech,India,Fintech startup
Google,internships@google.com,SDE / AI,India,University Recruiting
Microsoft,university@microsoft.com,SDE / AI,India,University Recruiting
Amazon,amazon-university-recruiting@amazon.com,SDE / E-commerce,India,Campus Hiring
Meta,campus-in@meta.com,SDE / AI,India,Campus Internships
Tower Research Capital,hr-india@tower-research.com,Quant / FinTech,India,Algorithmic Trading
DE Shaw,campus-recruiting@deshaw.com,Quant / FinTech,India,Prop Trading
Goldman Sachs,india-campus-recruitment@gs.com,FinTech,India,Investment Banking
JP Morgan Chase,campus.recruitment@jpmorgan.com,FinTech,India,Banking Tech
Morgan Stanley,campus-recruiting-india@morganstanley.com,FinTech,India,Campus Hiring
Cisco,university-recruiting@cisco.com,Networking / SDE,India,Campus Program
Adobe,university-hiring@adobe.com,SDE / AI,India,Internships
Salesforce,campus-india@salesforce.com,SaaS / SDE,India,University Hiring
Uber,university-india@uber.com,SDE / AI,India,Campus Hiring
Atlassian,university-recruiting@atlassian.com,SaaS / SDE,India,Internships
Flipkart,campus@flipkart.com,E-commerce / SDE,India,University Program
Myntra,campus@myntra.com,E-commerce / SDE,India,University Recruiting
Swiggy,campus.hiring@swiggy.in,FoodTech / SDE,India,Campus Hiring
Zomato,hr@zomato.com,FoodTech / SDE,India,Interns & Fulltime
Ola Cabs,campus.recruitment@olacabs.com,Mobility / SDE,India,Campus Hiring
CureFit,hr@curefit.com,Healthcare / HealthTech,India,HR Team
Practo,hr@practo.com,Healthcare,India,HR Team
Pharmeasy,hr@pharmeasy.in,Healthcare / E-commerce,India,Talent Team
1mg,hr@1mg.com,Healthcare,India,Talent Acquisition
Innovaccer,hr@innovaccer.com,Healthcare / SaaS,India,HR Team
Fractal Analytics,campus@fractal.ai,AI / ML,India,Campus Hiring
Mu Sigma,hr@mu-sigma.com,AI / ML,India,Recruitment
Tiger Analytics,talent@tigeranalytics.com,AI / ML,India,HR Team
Haptik,hr@haptik.ai,AI / NLP,India,Talent Team
Yellow.ai,hr@yellow.ai,AI / ML,India,Talent Team
Gupshup,hr@gupshup.io,AI / SaaS,India,Talent Team
Darwinbox,hr@darwinbox.in,SaaS / HRTech,India,HR
BrowserStack,talent@browserstack.com,SaaS / SDE,India,Talent Team
Postman,talent@postman.com,SaaS / SDE,India,Talent Team
Freshworks,campus@freshworks.com,SaaS / SDE,India,University Recruiting
Zoho,hr@zohocorp.com,SaaS / SDE,India,HR
Druva,hr@druva.com,SaaS / Cloud,India,Talent
Chargebee,hr@chargebee.com,SaaS / FinTech,India,Talent
MindTickle,hr@mindtickle.com,SaaS,India,HR
Icertis,talent@icertis.com,SaaS / AI,India,Talent
Zenoti,hr@zenoti.com,SaaS,India,Talent
CleverTap,talent@clevertap.com,SaaS / Analytics,India,Talent
MoEngage,hr@moengage.com,SaaS / Analytics,India,HR
Amagi,hr@amagi.com,SaaS / Media,India,HR
HighRadius,hr@highradius.com,SaaS / FinTech,India,HR
LeadSquared,hr@leadsquared.com,SaaS / CRM,India,HR
Whatfix,talent@whatfix.com,SaaS / SDE,India,Talent
Lenskart,hr@lenskart.in,E-commerce / Retail,India,HR
Nykaa,hr@nykaa.com,E-commerce,India,HR
Meesho,campus@meesho.com,E-commerce,India,Campus Hiring
Udaan,hr@udaan.com,E-commerce / B2B,India,HR
Blinkit,hr@blinkit.com,Quick Commerce,India,HR
Zepto,talent@zepto.com,Quick Commerce,India,Talent
Dunzo,hr@dunzo.in,Logistics / Quick Commerce,India,HR
Delhivery,hr@delhivery.com,Logistics,India,HR
Rivigo,hr@rivigo.com,Logistics,India,HR
BlackBuck,hr@blackbuck.com,Logistics,India,HR
Xpressbees,hr@xpressbees.com,Logistics,India,HR
Shiprocket,hr@shiprocket.in,Logistics / E-commerce,India,HR
MakeMyTrip,hr@makemytrip.com,TravelTech,India,HR
Goibibo,hr@goibibo.com,TravelTech,India,HR
Oyo,hr@oyorooms.com,TravelTech / Hospitality,India,HR
ClearTrip,hr@cleartrip.com,TravelTech,India,HR
Ixigo,hr@ixigo.com,TravelTech,India,HR
Agoda,campus@agoda.com,TravelTech,India,University Program
Paytm,hr@paytm.com,FinTech,India,HR
PhonePe,campus@phonepe.com,FinTech,India,Campus Hiring
Razorpay,campus@razorpay.com,FinTech,India,Campus Hiring
CRED,hr@cred.club,FinTech,India,HR
Pine Labs,hr@pinelabs.com,FinTech,India,HR
BharatPe,hr@bharatpe.com,FinTech,India,HR
Groww,hr@groww.in,FinTech,India,HR
Upstox,hr@upstox.com,FinTech,India,HR
Zerodha,hr@zerodha.com,FinTech,India,HR
Clear,hr@clear.in,FinTech,India,HR
Navi,hr@navi.com,FinTech,India,HR
KreditBee,hr@kreditbee.in,FinTech,India,HR
Acko,hr@acko.com,InsurTech,India,HR
Digit Insurance,hr@godigit.com,InsurTech,India,HR
PolicyBazaar,hr@policybazaar.com,InsurTech,India,HR
Unacademy,hr@unacademy.com,EdTech,India,HR
Byjus,hr@byjus.com,EdTech,India,HR
Vedantu,hr@vedantu.com,EdTech,India,HR
UpGrad,hr@upgrad.com,EdTech,India,HR
Eruditus,hr@eruditus.com,EdTech,India,HR
PhysicsWallah,hr@pw.live,EdTech,India,HR
Great Learning,hr@greatlearning.in,EdTech,India,HR
Scaler,talent@scaler.com,EdTech,India,Talent Team
Cuemath,hr@cuemath.com,EdTech,India,HR
Simplilearn,hr@simplilearn.net,EdTech,India,HR
Lead School,hr@leadschool.in,EdTech,India,HR
Teachmint,hr@teachmint.com,EdTech / SaaS,India,HR
ShareChat,campus@sharechat.co,Social Media / AI,India,Campus
Koo,hr@kooapp.com,Social Media,India,HR
Glance,hr@glance.com,Content / AI,India,HR
InMobi,campus@inmobi.com,AdTech / AI,India,Campus
PubMatic,hr@pubmatic.com,AdTech,India,HR
Media.net,campus@media.net,AdTech,India,Campus
Amadeus,hr@amadeus.com,TravelTech / SDE,India,HR
Oracle,campus-india@oracle.com,SDE / Database,India,Campus
SAP,campus-recruiting-india@sap.com,SDE / ERP,India,Campus
IBM,university_relations@in.ibm.com,SDE / AI,India,University Relations
Intel,india_student_programs@intel.com,Hardware / SDE,India,Student Programs
AMD,university_hiring@amd.com,Hardware / SDE,India,University Hiring
NVIDIA,campus-india@nvidia.com,AI / ML / Hardware,India,Campus
Qualcomm,india-campus@qualcomm.com,Hardware / Telecom,India,Campus
ARM,campus-india@arm.com,Hardware / SDE,India,Campus
Samsung R&D,sri-campus@samsung.com,SDE / AI / Mobile,India,Campus
TCS,campus.recruitment@tcs.com,SDE / Consulting,India,Campus
Infosys,campus_hiring@infosys.com,SDE / Consulting,India,Campus
Wipro,campus.arena@wipro.com,SDE / Consulting,India,Campus
HCL,campus.hiring@hcl.com,SDE / Consulting,India,Campus
Tech Mahindra,campus@techmahindra.com,SDE / Consulting,India,Campus
Cognizant,campushiring@cognizant.com,SDE / Consulting,India,Campus
Capgemini,campus.in@capgemini.com,SDE / Consulting,India,Campus
Accenture,india.campus@accenture.com,SDE / Consulting,India,Campus
Deloitte,indiacampus@deloitte.com,Consulting / Tech,India,Campus
PwC,in_campus_recruitment@pwc.com,Consulting / Tech,India,Campus
EY,campus-india@ey.com,Consulting / Tech,India,Campus
KPMG,in-fmcoursesrec@kpmg.com,Consulting / Tech,India,Campus
Mastercard,campus.india@mastercard.com,FinTech / Payments,India,Campus
Visa,campus.india@visa.com,FinTech / Payments,India,Campus
American Express,campus-india@aexp.com,FinTech,India,Campus
Citi,india.campus@citi.com,FinTech / Banking,India,Campus
Barclays,india.campus@barclays.com,FinTech / Banking,India,Campus
NatWest Group,india.campus@natwest.com,FinTech / Banking,India,Campus
Standard Chartered,india.campus@sc.com,FinTech / Banking,India,Campus
HSBC,campus-india@hsbc.com,FinTech / Banking,India,Campus
Wells Fargo,campusindia@wellsfargo.com,FinTech / Banking,India,Campus
BNY Mellon,campus-india@bnymellon.com,FinTech / Banking,India,Campus
Fidelity Investments,campusindia@fmr.com,FinTech / Investments,India,Campus
DBS Bank,campusindia@dbs.com,FinTech / Banking,India,Campus
Tesco Technology,campus@tesco.com,RetailTech / SDE,India,Campus
Target,campus.india@target.com,RetailTech / SDE,India,Campus
Walmart Global Tech,campus_india@walmart.com,RetailTech / SDE,India,Campus
Lowe's India,campusindia@lowes.com,RetailTech / SDE,India,Campus
Home Depot,campusindia@homedepot.com,RetailTech / SDE,India,Campus
JCPenney,campusindia@jcp.com,RetailTech / SDE,India,Campus
Optum,campusindia@optum.com,HealthTech / SDE,India,Campus
Cerner,campusindia@cerner.com,HealthTech / SDE,India,Campus
Siemens Healthineers,campusindia@siemens-healthineers.com,HealthTech / ML,India,Campus
Philips Healthcare,campusindia@philips.com,HealthTech / ML,India,Campus
GE Healthcare,campusindia@ge.com,HealthTech / ML,India,Campus
SuperOps.ai,hr@superops.ai,SaaS,India,Startup
Zluri,talent@zluri.com,SaaS,India,Startup
Rocketlane,hr@rocketlane.com,SaaS,India,Startup
Slintel,people@slintel.com,SaaS,India,Startup
Hevo Data,hr@hevodata.com,SaaS / Data,India,Startup
Atlan,hr@atlan.com,SaaS / Data,India,Startup
Hasura,talent@hasura.io,SaaS / Infra,India,Startup
Appsmith,hr@appsmith.com,SaaS / Infra,India,Startup
Dgraph,talent@dgraph.io,SaaS / Database,India,Startup
Vymo,hr@vymo.com,SaaS,India,Startup
Wingify,hr@wingify.com,SaaS,India,Mid-size
PushOwl,talent@pushowl.com,SaaS,India,Startup
Outplay,hr@outplayhq.com,SaaS,India,Startup
Automate.io,hr@automate.io,SaaS,India,Startup
SurveySparrow,hr@surveysparrow.com,SaaS,India,Startup
Peppo,talent@peppo.co,SaaS,India,Startup
Recruiterbox,hr@recruiterbox.com,SaaS,India,Mid-size
Keka HR,hr@keka.com,SaaS,India,Mid-size
Springworks,hr@springworks.in,SaaS,India,Startup
Masai School,hr@masaischool.com,EdTech,India,Startup
Newton School,talent@newtonschool.co,EdTech,India,Startup
Pesto Tech,hr@pesto.tech,EdTech,India,Startup
AlmaBetter,hr@almabetter.com,EdTech,India,Startup
Camp K12,hr@campk12.com,EdTech,India,Startup
Coding Ninjas,hr@codingninjas.com,EdTech,India,Startup
GeeksforGeeks,hr@geeksforgeeks.org,EdTech,India,Mid-size
InterviewBit,hr@interviewbit.com,EdTech,India,Startup
Mentoria,hr@mentoria.com,EdTech,India,Startup
Skill-Lync,hr@skill-lync.com,EdTech,India,Startup
Board Infinity,hr@boardinfinity.com,EdTech,India,Startup
Testbook,hr@testbook.com,EdTech,India,Mid-size
Entri,hr@entri.me,EdTech,India,Startup
FrontRow,hr@frontrow.co.in,EdTech,India,Startup
Dozee,hr@dozee.health,HealthTech,India,Startup
Qure.ai,hr@qure.ai,HealthTech / AI,India,Startup
Niramai,hr@niramai.com,HealthTech / AI,India,Startup
Wysa,hr@wysa.io,HealthTech / AI,India,Startup
BeatO,hr@beatoapp.com,HealthTech,India,Startup
HealthifyMe,hr@healthifyme.com,HealthTech,India,Mid-size
MFine,hr@mfine.co,HealthTech,India,Mid-size
eKincare,hr@ekincare.com,HealthTech,India,Startup
Medfin,hr@medfin.in,HealthTech,India,Startup
Ayu Health,hr@ayu.health,HealthTech,India,Startup
Trivitron,hr@trivitron.com,HealthTech,India,Mid-size
SigTuple,hr@sigtuple.com,HealthTech / AI,India,Startup
Doxper,hr@doxper.com,HealthTech,India,Startup
WazirX,hr@wazirx.com,Web3 / Crypto,India,Startup
CoinDCX,hr@coindcx.com,Web3 / Crypto,India,Startup
CoinSwitch,hr@coinswitch.co,Web3 / Crypto,India,Startup
Mudrex,hr@mudrex.com,Web3 / Crypto,India,Startup
Polygon,hr@polygon.technology,Web3 / Infra,India,Startup
Biconomy,hr@biconomy.io,Web3 / Infra,India,Startup
FalconX,hr@falconx.io,Web3 / Crypto,India,Startup
OnJuno,hr@onjuno.com,FinTech,India,Startup
M2P,hr@m2pfintech.com,FinTech,India,Startup
YAP,hr@yap.co,FinTech,India,Startup
Decentro,hr@decentro.tech,FinTech,India,Startup
FinBox,hr@finbox.in,FinTech,India,Startup
Karza,hr@karza.in,FinTech,India,Startup
LendenClub,hr@lendenclub.com,FinTech,India,Startup
FPL Tech,hr@fpltech.com,FinTech,India,Startup
Niyo,hr@goniyo.com,FinTech,India,Startup
Jupiter,hr@jupiter.money,FinTech,India,Startup
Rapido,hr@rapido.bike,Mobility,India,Mid-size
Bounce,hr@bounceshare.com,Mobility,India,Mid-size
Vogo,hr@vogo.in,Mobility,India,Startup
Yulu,hr@yulu.bike,Mobility,India,Startup
Porter,hr@porter.in,Logistics,India,Mid-size
LetsTransport,hr@letstransport.in,Logistics,India,Startup
LoadShare,hr@loadshare.net,Logistics,India,Startup
Shadowfax,hr@shadowfax.in,Logistics,India,Mid-size
Pidge,hr@pidge.in,Logistics,India,Startup
Blowhorn,hr@blowhorn.com,Logistics,India,Startup
DeHaat,hr@agrevolution.in,AgTech,India,Startup
AgroStar,hr@agrostar.in,AgTech,India,Startup
Ninjacart,hr@ninjacart.com,AgTech,India,Mid-size
WayCool,hr@waycool.in,AgTech,India,Mid-size
CropIn,hr@cropin.com,AgTech,India,Startup
Bijak,hr@bijak.in,AgTech,India,Startup
Intello Labs,hr@intellolabs.com,AgTech,India,Startup
Licious,hr@licious.com,D2C,India,Mid-size
FreshtoHome,hr@freshtohome.com,D2C,India,Mid-size
MilkBasket,hr@milkbasket.com,D2C,India,Mid-size
Supr Daily,hr@suprdaily.com,D2C,India,Mid-size
Wakefit,hr@wakefit.co,D2C,India,Mid-size
Sleepy Owl,hr@sleepyowl.co,D2C,India,Startup
Blue Tokai,hr@bluetokaicoffee.com,D2C,India,Startup
Bombay Shaving Company,hr@bombayshavingcompany.com,D2C,India,Startup
The Man Company,hr@themancompany.com,D2C,India,Startup
Mamaearth,hr@mamaearth.in,D2C,India,Mid-size
Sugar Cosmetics,hr@sugarcosmetics.com,D2C,India,Mid-size
Plum Goodness,hr@plumgoodness.com,D2C,India,Startup
Nagarro,hr@nagarro.com,IT Services,India,Large
Globant,hr@globant.com,IT Services,India,Large
ThoughtWorks,hr@thoughtworks.com,IT Services,India,Large
ThoughtSpot,hr@thoughtspot.com,Analytics,India,Mid-size
Zensar,hr@zensar.com,IT Services,India,Large
Hexaware,hr@hexaware.com,IT Services,India,Large
Mphasis,hr@mphasis.com,IT Services,India,Large
Mindtree,hr@mindtree.com,IT Services,India,Large
LTI,hr@lntinfotech.com,IT Services,India,Large
Persistent Systems,hr@persistent.com,IT Services,India,Large
KPIT,hr@kpit.com,IT Services,India,Large
Cyient,hr@cyient.com,IT Services,India,Large
Tata Elxsi,hr@tataelxsi.com,IT Services,India,Large
GeekyAnts,hr@geekyants.com,Dev Shop,India,Mid-size
SoluteLabs,hr@solutelabs.com,Dev Shop,India,Startup
Mindbowser,hr@mindbowser.com,Dev Shop,India,Startup
Simform,hr@simform.com,Dev Shop,India,Mid-size
Mutual Mobile,hr@mutualmobile.com,Dev Shop,India,Mid-size
Sourcebits,hr@sourcebits.com,Dev Shop,India,Mid-size
Robosoft,hr@robosoftin.com,Dev Shop,India,Mid-size
Konstant Infosolutions,hr@konstantinfo.com,Dev Shop,India,Mid-size
Appinventiv,hr@appinventiv.com,Dev Shop,India,Mid-size
Exotel,talent@exotel.com,SaaS / Telecom,India,Mid-size
Knowlarity,hr@knowlarity.com,SaaS / Telecom,India,Mid-size
MyOperator,hr@myoperator.com,SaaS / Telecom,India,Startup
Ozonetel,hr@ozonetel.com,SaaS / Telecom,India,Startup
Kaleyra,hr@kaleyra.com,SaaS / Telecom,India,Mid-size
Routemobile,hr@routemobile.com,SaaS / Telecom,India,Mid-size
Gloat,hr@gloat.com,HRTech,India,Startup
Instahyre,hr@instahyre.com,HRTech,India,Startup
Cutshort,hr@cutshort.io,HRTech,India,Startup
Hirist,hr@hirist.com,HRTech,India,Startup
Naukri,hr@naukri.com,HRTech,India,Large
IIMJobs,hr@iimjobs.com,HRTech,India,Mid-size
AngelList India,hr@angellist.com,HRTech,India,Startup
Refyne,hr@refyne.co.in,FinTech / HRTech,India,Startup
ZingHR,hr@zinghr.com,HRTech,India,Mid-size
